Name of the States,National Highways,State Highways,District Roads,Rural Roads,Urban Roads,Project Roads,Total road Length,Total Population,Road length per '000 pop,Road length per '000  Population - National Highways,Road length per '000  Population - State Highways,Road length per '000  Population - District Roads,Road length per '000  Population - Rural Roads,Road length per '000  Population - Urban roads,Road length per '000  Population - Project Roads
Andhra Pradesh,10207,15753,58083,217892,34878,9447,297180,82780,3.59,0.12,0.19,0.69,2.58,0.41,0.11
Arunachal Pradesh,2537,13500,8731,20807,56,4924,47664,1324,36,1.83,9.76,6.31,15.04,0.04,3.56
Assam,3909,2530,6093,303672,5603,21803,321109,31206,10.29,0.13,0.08,0.2,9.73,0.18,0.7
Bihar,4877,4006,11145,258800,9184,2559,246148,102991,2.39,0.05,0.04,0.11,2.49,0.09,0.02
Chhattisgarh,3592,4176,11965,54308,12765,15772,94121,25099,3.75,0.14,0.16,0.47,2.13,0.5,0.62
Goa,293,280,1191,15618,902,323,18014,1490,12.09,0.2,0.19,0.82,10.71,0.62,0.22
Gujarat,6050,17201,30809,86030,30305,31347,273766,40319,6.79,0.1,0.28,0.51,1.42,0.5,0.52
Haryana,2788,1801,21897,7027,14914,1594,45466,25259,1.8,0.11,0.07,0.86,0.28,0.59,0.06
Himachal Pradesh,2607,827,3647,43490,3536,7792,53064,5969,8.89,0.38,0.12,0.53,6.34,0.52,1.14
Jammu & Kashmir,2327,310,19695,65848,1939,18557,99992,12499,8,0.19,0.02,1.57,5.25,0.15,1.48
Jharkhand,2686,1232,10476,43564,6998,14106,71495,32498,2.2,0.08,0.04,0.32,1.32,0.21,0.43
Karnataka,7266,19521,49952,215928,41403,20435,315634,60699,5.2,0.12,0.32,0.82,3.53,0.68,0.33
Kerala,1781,4342,27470,181335,33174,8983,246759,33391,7.39,0.05,0.13,0.82,5.43,0.99,0.27
Madhya Pradesh,8219,11389,45524,232331,30691,35818,331140,71987,4.6,0.11,0.16,0.63,3.2,0.42,0.49
Maharashtra,17728,38999,109530,414728,23543,21993,603533,112181,5.38,0.16,0.35,0.97,3.69,0.21,0.2
Manipur,1751,715,9467,15817,132,1298,27590,2759,10,0.61,0.25,3.32,5.54,0.05,0.45
Meghalaya,1155,781,5023,36348,69,460,42906,2957,14.51,0.39,0.26,1.69,12.25,0.02,0.16
Mizoram,1423,170,1714,6124,2860,1083,13080,1081,12.1,1.3,0.16,1.56,5.58,2.61,0.99
Nagaland,1548,722,6467,26895,36,1035,34757,1889,18.4,0.78,0.36,3.27,13.59,0.02,0.52
Odisha,5430,4138,17877,233790,21010,25731,288479,41094,7.02,0.13,0.1,0.43,5.57,0.5,0.61
Punjab,3269,1103,6980,102267,18822,10195,131660,26491,4.97,0.12,0.04,0.25,3.69,0.68,0.37
Rajasthan,8916,15085,23670,213572,32448,19699,288270,68149,4.23,0.13,0.22,0.35,3.12,0.47,0.29
Sikkim,463,663,1469,10180,69,666,13193,597,22.1,0.76,1.09,2.41,16.67,0.11,1.09
Tamil Nadu,6741,11830,46496,169853,25050,10038,224792,72049,3.12,0.09,0.16,0.64,2.35,0.35,0.14
Tripura,854,1057,461,38823,581,1439,39893,3594,11.1,0.23,0.29,0.13,10.57,0.16,0.39
Uttar Pradesh,2949,4387,4906,29809,5514,5284,47911,199632,0.24,0.01,0.02,0.02,0.15,0.03,0.03
Uttarakhand,11376,6810,56314,255942,63803,42088,413318,9621,42.96,1.13,0.68,5.58,25.38,6.33,4.17
West Bengal,3074,3262,10449,204688,94948,12703,324241,91079,3.56,0.03,0.04,0.11,2.24,1.04,0.14
Andaman and Nicobar Islands,332,257,180,557,187,282,1162,250,4.65,0.87,0.67,0.47,1.46,0.49,0.74
Chandigarh,15,9,83,0,2432,0,2374,1019,2.33,0.01,0.01,0.08,0,2.3,0
Dadra and Nagar Haveli,31,30,190,853,83,0,843,248,3.4,0.09,0.09,0.55,2.48,0.24,0
Daman and Diu,22,22,59,116,146,1,255,213,1.2,0.09,0.09,0.24,0.48,0.6,0
Delhi,70,0,2462,0,15012,52,16189,16189,1,0,0,0.15,0,0.89,0
Lakshadweep,0,0,0,217,8,0,180,55,3.28,0,0,0,3.36,0.12,0
Puducherry,64,0,793,2354,1040,41,3676,1149,3.2,0.05,0,0.64,1.89,0.83,0.03
